query_index,true_label,prediction,selected_cluster,dataset,method,epsilon,K,seed
32,1,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
33,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
34,1,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
35,0,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
36,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
37,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
38,1,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
39,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
40,1,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
41,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
42,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
43,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
44,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
45,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
46,1,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
47,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
48,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
49,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
50,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
51,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
52,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
53,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
54,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
55,0,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
56,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
57,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
58,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
59,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
60,1,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
61,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
62,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
63,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
64,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
65,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
66,1,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
67,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
68,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
69,0,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
70,0,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
71,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
72,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
73,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
74,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
75,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
76,0,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
77,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
78,1,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
79,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
80,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
81,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
82,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
83,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
84,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
85,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
86,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
87,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
88,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
89,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
90,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
91,0,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
92,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
93,1,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
94,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
95,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
96,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
97,1,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
98,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
99,1,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
0,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
1,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
2,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
3,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
4,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
5,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
6,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
7,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
8,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
9,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
10,1,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
11,1,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
12,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
13,1,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
14,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
15,0,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
16,0,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
17,1,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
18,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
19,1,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
20,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
21,0,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
22,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
23,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
24,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
25,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
26,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
27,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
28,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
29,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
30,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
31,1,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
32,1,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
33,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
34,1,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
35,0,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
36,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
37,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
38,1,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
39,1,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
40,1,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
41,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
42,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
43,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
44,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
45,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
46,1,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
47,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
48,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
49,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
50,1,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
51,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
52,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
53,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
54,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
55,0,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
56,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
57,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
58,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
59,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
60,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
61,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
62,1,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
63,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
64,0,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
65,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
66,1,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
67,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
68,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
69,0,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
70,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
71,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
72,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
73,0,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
74,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
75,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
76,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
77,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
78,1,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
79,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
80,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
81,0,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
82,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
83,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
84,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
85,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
86,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
87,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
88,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
89,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
90,1,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
91,0,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
92,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
93,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
94,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
95,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
96,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
97,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
98,0,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
99,1,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1001
0,1,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
1,0,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
2,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
3,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
4,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
5,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
6,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
7,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
8,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
9,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
10,1,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
11,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
12,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
13,1,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
14,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
15,0,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
16,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
17,1,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
18,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
19,1,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
20,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
21,0,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
22,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
23,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
24,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
25,1,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
26,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
27,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
28,0,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
29,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
30,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
31,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
32,1,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
33,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
34,1,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
35,0,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
36,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
37,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
38,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
39,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
40,1,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
41,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
42,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
43,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
44,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
45,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
46,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
47,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
48,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
49,0,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
50,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
51,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
52,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
53,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
54,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
55,0,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
56,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
57,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
58,1,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
59,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
60,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
61,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
62,1,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
63,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
64,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
65,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
66,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
67,1,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
68,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
69,0,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
70,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
71,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
72,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
73,0,1,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
74,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
75,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
76,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
77,0,0,0,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1002
