AGEP,SCHL,MAR,SEX,DIS,ESP,CIT,MIG,MIL,ANC,NATIVITY,DEAR,DEYE,DREM,PINCP,ESR,FER,RAC1P,label
28.0,21,5,1,2,0,1,1,4,1,1,2,2,2,26410.0,1,0,8,0
25.0,20,5,2,1,0,1,1,4,2,1,2,2,1,8600.0,1,2,1,0
27.0,22,1,1,2,0,1,3,4,1,1,2,2,2,27000.0,1,0,1,0
20.0,19,5,1,2,0,1,1,4,2,1,2,2,2,4000.0,1,0,9,0
48.0,20,5,1,1,0,1,1,4,2,1,2,2,2,14500.0,6,0,9,1
46.0,21,1,2,2,0,4,1,4,1,2,2,2,2,0.0,6,2,6,0
22.0,16,5,2,2,0,1,1,4,2,1,2,2,2,2200.0,1,2,8,0
51.0,21,1,2,2,0,5,2,4,1,2,2,2,2,-2300.0,6,0,6,0
24.0,16,5,2,2,0,1,2,4,1,1,2,2,2,0.0,6,2,6,0
22.0,20,5,1,2,0,1,1,4,1,1,2,2,2,5000.0,1,0,6,1
33.0,21,5,2,2,0,1,1,4,1,1,2,2,2,23000.0,1,2,1,0
16.0,12,5,1,2,1,1,1,0,2,1,2,2,2,0.0,6,0,9,0
21.0,21,5,1,2,0,5,3,4,1,2,2,2,2,-2300.0,6,0,6,0
61.0,16,5,2,2,0,1,1,4,1,1,2,2,2,10100.0,6,0,2,1
47.0,16,3,1,2,0,1,1,4,1,1,2,2,2,0.0,3,0,1,0
64.0,19,5,1,2,0,4,1,4,1,2,2,2,2,28000.0,1,0,8,1
32.0,21,1,2,2,0,1,1,4,2,1,2,2,2,10000.0,1,2,9,0
28.0,17,1,1,2,0,1,3,4,2,1,2,2,2,20000.0,1,0,9,0
31.0,16,5,1,2,0,1,1,4,4,1,2,2,2,30000.0,1,0,1,0
22.0,19,5,2,2,0,1,3,4,1,1,2,2,2,21000.0,1,2,1,0
43.0,9,1,2,2,0,5,1,4,1,2,2,2,2,8000.0,6,2,1,1
63.0,21,1,1,2,0,1,1,4,4,1,2,2,2,0.0,6,0,1,0
55.0,10,5,2,2,0,5,1,4,1,2,2,2,2,13000.0,1,0,2,1
52.0,16,1,1,2,0,5,1,4,1,2,2,2,2,0.0,6,0,1,0
39.0,16,5,1,2,0,1,1,4,1,1,2,2,2,20000.0,1,0,3,0
21.0,16,5,1,2,0,3,1,4,4,1,2,2,2,6000.0,1,0,6,0
46.0,6,3,1,2,0,5,3,4,1,2,2,2,2,0.0,6,0,8,0
35.0,22,5,2,2,0,1,3,4,1,1,2,2,2,15000.0,1,2,1,0
29.0,18,1,1,2,0,1,1,4,1,1,2,2,2,28000.0,1,0,8,0
17.0,16,5,2,2,7,1,1,4,4,1,2,2,2,6400.0,1,2,1,0
35.0,16,1,2,2,0,1,1,4,4,1,2,2,2,9800.0,1,2,1,0
24.0,21,5,1,2,0,1,3,4,4,1,2,2,2,0.0,6,0,8,0
39.0,18,5,1,2,0,1,1,4,1,1,2,2,2,720.0,6,0,8,1
42.0,13,5,1,2,0,1,1,4,1,1,2,2,2,0.0,6,0,1,0
30.0,21,5,1,2,0,1,2,4,4,1,2,2,2,24800.0,6,0,1,1
15.0,12,5,2,2,1,1,1,0,2,1,2,2,2,0.0,0,2,1,0
25.0,18,5,2,2,0,1,3,4,4,1,2,2,2,3000.0,1,2,1,0
17.0,14,5,1,2,1,1,1,4,3,1,2,2,2,0.0,6,0,1,0
38.0,15,5,2,2,0,1,1,4,1,1,2,2,2,18900.0,3,2,8,0
17.0,14,5,2,2,1,1,1,4,1,1,2,2,2,0.0,6,2,1,0
32.0,20,1,2,2,0,4,1,4,1,2,2,2,2,30000.0,1,1,6,0
44.0,8,1,1,2,0,4,1,4,1,2,2,2,2,23000.0,3,0,1,1
28.0,19,3,2,2,0,5,1,4,4,2,2,2,2,2400.0,1,2,6,0
59.0,15,5,1,2,0,1,1,4,2,1,2,2,2,0.0,3,0,1,0
46.0,12,1,2,2,0,5,1,4,1,2,2,2,2,0.0,6,2,1,0
30.0,21,5,1,2,0,4,1,4,1,2,2,2,2,23300.0,1,0,1,1
26.0,20,5,1,2,0,1,1,4,1,1,2,2,2,26000.0,1,0,1,0
60.0,21,1,1,2,0,1,1,4,1,1,2,2,2,30000.0,6,0,1,0
58.0,16,3,2,1,0,1,1,4,4,1,2,2,1,0.0,6,0,1,0
18.0,16,5,2,2,0,1,1,4,1,1,2,2,2,0.0,6,2,1,0
48.0,21,5,1,2,0,5,1,4,1,2,2,2,2,22900.0,1,0,1,0
20.0,16,5,2,2,0,1,1,4,1,1,2,2,2,19500.0,1,2,1,1
44.0,22,1,2,2,0,5,1,4,1,2,2,2,2,24000.0,1,2,1,0
36.0,14,1,2,2,0,5,1,4,1,2,2,2,2,0.0,6,2,1,1
56.0,1,5,2,2,0,4,1,4,1,2,2,2,2,22400.0,1,0,1,0
24.0,21,5,2,2,0,1,1,4,2,1,2,2,2,22000.0,1,2,9,0
20.0,16,1,2,2,0,1,3,4,2,1,2,2,2,15000.0,3,2,1,0
19.0,18,5,1,2,0,1,1,4,1,1,2,2,2,1000.0,6,0,2,0
17.0,13,5,2,2,7,1,1,4,4,1,2,2,2,0.0,3,2,6,0
16.0,13,5,1,2,2,1,1,0,1,1,2,2,2,0.0,6,0,1,1
21.0,19,5,2,2,0,5,1,4,1,2,2,2,2,6000.0,1,2,8,1
52.0,9,1,1,1,0,5,1,4,1,2,2,2,2,7900.0,6,0,1,1
18.0,18,1,2,2,0,1,1,4,2,1,2,2,2,0.0,6,2,1,0
37.0,19,5,2,2,0,1,3,4,1,1,2,2,2,2500.0,1,2,1,0
61.0,11,3,2,1,0,4,1,4,1,2,2,2,1,10800.0,6,0,1,0
43.0,16,4,1,2,0,5,3,4,1,2,2,2,2,30000.0,1,0,1,0
18.0,18,5,2,2,0,1,3,4,1,1,2,2,2,0.0,6,2,6,0
17.0,14,5,1,2,1,1,1,4,1,1,2,2,2,0.0,6,0,1,1
54.0,13,1,1,2,0,1,1,4,1,1,2,2,2,0.0,6,0,1,1
37.0,12,5,1,2,0,1,3,4,1,1,2,2,2,0.0,6,0,8,1
22.0,20,5,1,2,0,1,1,4,1,1,2,2,2,0.0,6,0,6,0
28.0,16,5,1,2,0,1,1,4,1,1,2,2,2,20000.0,1,0,8,1
24.0,16,1,2,2,0,5,1,4,1,2,2,2,2,5000.0,6,2,6,0
64.0,19,1,2,2,0,5,1,4,1,2,2,2,2,6000.0,1,0,6,1
48.0,1,1,1,2,0,5,1,4,4,2,2,2,2,6000.0,6,0,1,0
31.0,21,5,1,2,0,1,1,4,1,1,2,2,2,0.0,3,0,2,0
60.0,19,5,1,1,0,4,3,4,1,2,2,2,2,5300.0,6,0,2,1
15.0,13,5,2,2,5,5,1,0,1,2,2,2,2,0.0,0,2,1,1
29.0,15,1,2,2,0,1,1,4,1,1,2,2,2,0.0,6,2,1,0
55.0,18,1,1,2,0,4,1,4,4,2,2,2,2,19700.0,1,0,8,0
30.0,18,1,2,2,0,1,1,4,4,1,2,2,2,0.0,6,2,1,1
21.0,16,5,1,2,0,1,1,4,1,1,2,2,2,28000.0,1,0,1,0
25.0,15,5,1,2,0,1,1,4,1,1,2,2,2,12000.0,1,0,1,0
42.0,16,5,1,2,0,5,1,4,1,2,2,2,2,0.0,6,0,8,1
17.0,14,5,1,2,5,1,3,4,1,1,2,2,2,0.0,6,0,1,1
43.0,15,3,1,2,0,5,1,4,1,2,2,2,2,7000.0,3,0,8,0
40.0,21,1,2,2,0,4,1,4,1,2,2,2,2,0.0,6,2,6,0
54.0,15,1,2,1,0,3,1,4,1,1,2,2,1,3100.0,1,0,6,0
34.0,22,5,2,2,0,1,1,4,1,1,2,2,2,0.0,6,2,6,1
22.0,21,1,2,2,0,5,1,4,4,2,2,2,2,12000.0,1,2,1,0
22.0,16,5,1,2,0,1,3,4,3,1,2,2,2,10000.0,2,0,1,0
56.0,16,1,1,1,0,1,1,4,2,1,2,2,2,0.0,6,0,9,0
36.0,19,1,2,2,0,1,1,4,1,1,2,2,2,0.0,6,2,1,0
56.0,4,1,2,1,0,5,1,4,1,2,2,2,1,0.0,6,0,8,1
35.0,16,1,2,2,0,1,1,4,1,1,2,2,2,0.0,6,1,8,0
16.0,14,5,2,2,1,4,1,0,4,2,2,2,2,0.0,6,2,6,0
56.0,16,1,2,2,0,1,3,4,1,1,2,2,2,8000.0,6,0,1,0
45.0,21,1,2,2,0,1,1,4,2,1,2,2,2,10000.0,1,2,1,0
33.0,9,1,2,2,0,5,1,4,1,2,2,2,2,17000.0,1,2,1,1
33.0,16,5,2,2,0,5,3,4,1,2,2,2,2,0.0,6,2,8,1
51.0,1,1,1,2,0,4,1,4,1,2,2,2,2,0.0,6,0,1,1
29.0,19,5,2,2,0,1,3,4,2,1,2,2,2,20000.0,1,2,8,0
19.0,16,5,2,2,0,1,3,4,1,1,2,2,2,2000.0,1,2,2,0
36.0,16,5,2,1,0,4,1,4,4,2,1,2,2,0.0,6,2,2,1
26.0,11,5,1,2,0,1,1,4,1,1,2,2,2,0.0,6,0,6,1
47.0,19,1,2,2,0,3,1,4,2,1,2,2,2,40.0,6,2,1,0
47.0,21,1,2,2,0,1,1,4,2,1,2,2,2,5000.0,1,2,1,0
16.0,14,5,1,2,1,5,3,0,1,2,2,2,2,0.0,6,0,6,0
18.0,18,5,2,2,0,1,1,4,1,1,2,2,2,0.0,3,2,8,0
56.0,22,1,2,2,0,4,1,4,1,2,2,2,2,28500.0,1,0,6,0
61.0,18,1,2,2,0,1,1,4,1,1,2,2,2,0.0,6,0,1,0
43.0,13,1,1,2,0,5,1,4,1,2,2,2,2,17700.0,1,0,1,1
57.0,12,3,1,2,0,1,1,4,2,1,2,2,2,0.0,3,0,1,1
33.0,1,1,1,2,0,1,1,4,4,1,2,2,2,12000.0,1,0,6,0
49.0,21,3,1,2,0,4,1,4,1,2,2,2,2,28000.0,1,0,2,0
45.0,17,3,2,2,0,5,1,4,4,2,2,2,2,25000.0,1,2,8,0
33.0,16,1,1,2,0,5,1,4,1,2,2,2,2,25000.0,1,0,1,0
58.0,11,1,2,2,0,4,1,4,1,2,2,2,2,0.0,6,0,1,0
27.0,1,5,2,2,0,1,1,4,1,1,2,2,2,8000.0,1,2,8,1
17.0,14,5,1,2,2,4,1,4,1,2,2,2,2,0.0,6,0,1,0
63.0,16,1,2,2,0,1,1,4,1,1,2,2,2,19000.0,1,0,1,0
24.0,21,5,2,2,0,1,1,4,2,1,2,2,2,26200.0,1,2,1,0
23.0,16,5,1,2,0,1,1,4,1,1,2,2,2,30000.0,1,0,1,0
60.0,21,1,2,2,0,4,1,4,2,2,2,2,2,30000.0,1,0,6,0
34.0,21,1,2,2,0,1,3,4,2,1,2,2,2,30000.0,1,2,1,1
19.0,16,5,2,2,0,1,3,4,2,1,2,2,2,1000.0,6,2,1,0
32.0,21,5,2,2,0,1,3,4,4,1,2,2,2,0.0,6,2,2,0
36.0,1,1,2,2,0,5,1,4,4,2,2,2,2,25200.0,1,2,9,0
63.0,12,5,2,2,0,4,1,4,1,2,2,2,2,26000.0,2,0,1,0
23.0,16,5,2,2,0,5,1,4,1,2,2,2,2,20200.0,6,2,1,0
48.0,22,5,2,2,0,5,1,4,1,2,2,2,2,11000.0,6,2,6,0
49.0,22,5,2,2,0,1,1,4,4,1,2,2,2,3000.0,1,2,1,0
51.0,21,1,2,2,0,4,1,4,1,2,2,2,2,0.0,6,0,1,0
49.0,19,1,2,2,0,1,1,4,1,1,2,2,2,10000.0,1,2,1,0
43.0,12,5,1,2,0,5,1,4,1,2,2,2,2,0.0,6,0,1,1
25.0,19,5,1,2,0,1,1,4,4,1,2,2,2,24000.0,1,0,8,0
23.0,19,5,2,2,0,5,1,4,1,2,2,2,2,14400.0,1,2,1,1
48.0,18,5,2,2,0,1,1,4,2,1,2,2,2,22000.0,1,2,1,1
64.0,16,2,2,1,0,1,1,4,1,1,2,1,2,18700.0,6,0,1,1
30.0,8,1,2,2,0,5,3,4,1,2,2,2,2,0.0,6,2,8,1
25.0,16,1,1,1,0,1,1,4,4,1,2,2,1,9000.0,6,0,8,1
20.0,18,5,2,2,0,1,3,4,1,1,2,2,2,4000.0,1,2,1,0
41.0,16,3,2,2,0,1,1,4,1,1,2,2,2,12600.0,1,2,1,1
25.0,16,3,2,2,0,1,1,4,4,1,2,2,2,0.0,6,2,8,1
26.0,16,5,2,2,0,5,1,4,1,2,2,2,2,20000.0,1,2,9,0
60.0,16,1,1,2,0,1,1,4,1,1,2,2,2,27000.0,1,0,1,0
43.0,21,1,1,2,0,4,3,4,1,2,2,2,2,20000.0,2,0,6,0
22.0,19,5,2,2,0,1,1,4,1,1,2,2,2,10700.0,1,2,6,0
19.0,19,5,2,2,0,1,3,4,4,1,2,2,2,0.0,6,2,1,0
56.0,9,5,1,1,0,1,1,4,1,1,2,2,1,1400.0,6,0,1,1
29.0,16,5,2,2,0,1,1,4,1,1,2,2,2,8000.0,1,2,6,1
60.0,20,1,2,2,0,5,1,4,1,2,2,2,2,14000.0,3,0,6,0
26.0,13,1,2,2,0,1,1,4,1,1,2,2,2,6500.0,1,2,8,0
32.0,17,5,2,1,0,1,1,4,2,1,2,2,1,11200.0,6,2,1,1
36.0,16,5,2,2,0,1,1,4,1,1,2,2,2,0.0,6,2,8,1
58.0,12,2,2,2,0,1,1,4,1,1,2,2,2,0.0,6,0,8,0
21.0,16,1,2,2,0,1,1,4,4,1,2,2,2,17000.0,2,2,1,0
46.0,21,1,1,2,0,1,1,4,2,1,2,2,2,5000.0,1,0,1,0
31.0,12,5,1,2,0,5,1,4,1,2,2,2,2,11000.0,1,0,1,1
20.0,17,5,1,2,0,1,1,4,1,1,2,2,2,0.0,3,0,1,0
46.0,21,1,2,2,0,4,1,4,1,2,2,2,2,0.0,6,2,6,0
42.0,17,3,2,2,0,1,1,4,2,1,2,2,2,4000.0,6,2,1,0
22.0,16,5,2,2,0,1,1,4,1,1,2,2,2,0.0,6,2,8,0
19.0,19,5,2,2,0,1,1,4,4,1,2,2,2,0.0,6,2,1,0
25.0,19,5,1,2,0,1,1,4,1,1,2,2,2,28000.0,1,0,1,0
63.0,16,2,2,2,0,1,1,4,1,1,2,2,2,2240.0,6,0,2,1
22.0,21,5,2,2,0,1,1,4,4,1,2,2,2,19000.0,1,2,1,0
28.0,21,1,2,2,0,1,1,4,1,1,2,2,2,24000.0,1,2,8,0
26.0,1,1,2,2,0,4,1,4,1,2,2,2,2,9100.0,1,2,6,0
48.0,11,1,1,2,0,1,3,4,4,1,2,2,2,25000.0,1,0,8,0
21.0,16,5,1,2,0,1,1,4,2,1,2,2,2,15000.0,1,0,6,0
15.0,12,5,2,2,3,1,1,0,2,1,2,2,2,0.0,0,2,1,0
36.0,16,5,2,2,0,1,1,4,1,1,2,2,2,0.0,6,2,2,1
30.0,16,1,2,2,0,1,1,4,1,1,2,2,2,0.0,6,1,1,0
18.0,16,5,2,2,0,1,3,4,2,1,2,2,2,0.0,6,2,9,0
20.0,19,5,1,2,0,1,1,4,3,1,2,2,2,16000.0,6,0,1,0
16.0,12,5,1,2,7,1,1,0,1,1,2,2,2,0.0,6,0,1,1
21.0,16,5,2,2,0,5,3,4,1,2,2,2,2,0.0,6,2,6,1
19.0,14,1,2,2,0,1,1,4,4,1,2,2,2,0.0,6,2,2,0
39.0,13,5,2,2,0,5,1,4,1,2,2,2,2,18000.0,1,2,8,0
26.0,12,5,2,2,0,5,1,4,1,2,2,2,2,8000.0,1,2,3,0
59.0,18,5,2,1,0,1,1,4,1,1,2,2,2,24000.0,1,0,2,1
62.0,21,1,2,1,0,1,3,4,2,1,2,2,2,7800.0,6,0,1,0
20.0,18,5,2,2,0,1,1,4,4,1,2,2,2,0.0,6,2,1,1
38.0,19,5,2,1,0,1,1,4,4,1,2,1,2,16000.0,1,2,1,1
43.0,24,1,2,2,0,1,1,4,4,1,2,2,2,0.0,6,2,1,1
24.0,16,5,1,1,0,4,1,4,1,2,1,1,1,0.0,6,0,1,1
58.0,1,5,2,1,0,1,1,4,1,1,2,2,2,9800.0,6,0,1,1
58.0,12,4,1,2,0,4,1,4,1,2,2,2,2,14800.0,6,0,1,1
28.0,12,1,2,2,0,1,1,4,4,1,2,2,2,0.0,6,1,1,0
64.0,3,2,2,2,0,5,1,4,1,2,2,2,2,19000.0,1,0,8,0
41.0,14,5,2,2,0,1,1,4,1,1,2,2,2,0.0,6,2,1,0
18.0,14,5,1,2,0,1,1,4,1,1,2,2,2,0.0,6,0,1,0
56.0,16,3,2,2,0,1,1,4,4,1,2,2,2,18000.0,6,0,2,1
42.0,12,1,2,2,0,4,1,4,4,2,2,2,2,0.0,6,2,6,0
54.0,21,1,2,2,0,1,1,4,1,1,2,2,2,13600.0,6,0,1,1
43.0,15,1,2,2,0,5,1,4,1,2,2,2,2,0.0,3,2,6,1
26.0,20,5,2,2,0,5,1,4,2,2,2,2,2,0.0,6,2,1,0
16.0,13,5,1,2,1,1,1,0,2,1,2,2,2,1300.0,6,0,1,0
18.0,18,5,2,2,0,1,1,4,2,1,2,2,2,2000.0,6,2,7,0
35.0,16,1,2,2,0,4,1,4,1,2,2,2,2,19000.0,1,2,1,0
23.0,19,5,2,2,0,1,3,4,1,1,2,2,2,18000.0,1,2,2,1
22.0,16,5,1,2,0,4,1,4,4,2,2,2,2,18200.0,1,0,1,0
27.0,21,5,2,2,0,1,1,4,4,1,2,2,2,28700.0,1,2,6,1
40.0,20,1,2,2,0,1,1,4,2,1,2,2,2,3000.0,6,2,1,0
59.0,15,5,1,2,0,1,1,4,1,1,2,2,2,23000.0,1,0,2,0
50.0,14,5,1,1,0,5,1,4,1,2,1,1,2,11000.0,6,0,1,1
63.0,6,3,2,2,0,4,1,4,1,2,2,2,2,640.0,6,0,8,1
54.0,13,1,2,2,0,5,1,4,1,2,2,2,2,15000.0,1,0,6,1
62.0,19,1,1,2,0,4,1,4,4,2,2,2,2,1600.0,6,0,6,0
47.0,21,1,1,2,0,4,1,4,1,2,2,2,2,21500.0,1,0,6,0
49.0,19,1,2,2,0,1,1,4,1,1,2,2,2,8000.0,1,2,8,0
51.0,19,5,2,1,0,4,1,4,1,2,1,2,2,20000.0,6,0,8,0
54.0,20,3,2,2,0,4,1,4,1,2,2,2,2,27000.0,1,0,1,1
33.0,16,1,1,2,0,5,1,4,1,2,2,2,2,24000.0,1,0,1,0
17.0,15,5,2,2,7,1,1,4,1,1,2,2,2,0.0,6,2,5,1
20.0,18,5,2,2,0,1,1,4,1,1,2,2,2,2000.0,6,2,1,1
36.0,21,1,2,2,0,5,1,4,2,2,2,2,2,0.0,6,2,1,0
15.0,13,5,1,2,1,1,1,0,1,1,2,2,2,0.0,0,0,1,0
36.0,21,1,2,2,0,1,1,4,2,1,2,2,2,25000.0,1,2,1,0
34.0,17,3,2,2,0,5,1,4,1,2,2,2,2,0.0,6,2,6,1
37.0,21,5,2,2,0,1,1,4,1,1,2,2,2,18000.0,1,2,1,0
49.0,15,1,2,2,0,5,1,4,1,2,2,2,2,0.0,6,2,1,0
16.0,13,5,1,2,1,1,1,0,2,1,2,2,2,-2300.0,6,0,1,0
19.0,19,5,1,2,0,1,1,4,1,1,2,2,2,0.0,6,0,1,0
54.0,13,1,2,1,0,1,1,4,2,1,2,2,1,0.0,6,0,1,0
48.0,19,5,1,1,0,1,1,4,2,1,2,2,2,0.0,6,0,1,1
29.0,19,1,1,2,0,1,1,4,2,1,2,2,2,25000.0,1,0,1,1
15.0,12,5,1,2,8,1,3,0,2,1,2,2,2,700.0,0,0,1,1
23.0,14,5,2,2,0,1,1,4,1,1,2,2,2,24000.0,1,2,1,0
28.0,16,1,2,2,0,5,1,4,1,2,2,2,2,10000.0,1,2,8,0
40.0,18,1,2,2,0,1,1,4,1,1,2,2,2,1000.0,1,2,1,1
62.0,19,1,2,2,0,1,1,4,2,1,2,2,2,17000.0,1,0,1,0
19.0,19,5,2,2,0,1,1,4,1,1,2,2,2,15000.0,6,2,1,0
59.0,16,1,1,2,0,1,1,4,4,1,2,2,2,15100.0,1,0,8,0
29.0,19,5,1,2,0,1,3,4,1,1,2,2,2,17000.0,1,0,6,0
22.0,16,5,2,2,0,1,1,4,4,1,2,2,2,0.0,3,1,8,0
64.0,20,4,2,2,0,3,1,4,4,1,2,2,2,0.0,6,0,1,1
41.0,22,1,2,2,0,5,1,4,1,2,2,2,2,0.0,6,2,1,0
23.0,21,5,1,2,0,1,1,4,1,1,2,2,2,0.0,6,0,1,0
63.0,19,1,2,2,0,1,1,4,1,1,2,2,2,20000.0,6,0,8,0
53.0,16,1,2,2,0,1,1,4,1,1,2,2,2,24000.0,1,0,1,0
57.0,16,1,2,2,0,5,1,4,1,2,2,2,2,0.0,6,0,6,1
56.0,16,3,2,2,0,4,1,4,1,2,2,2,2,15000.0,1,0,8,0
47.0,1,1,2,2,0,4,1,4,1,2,2,2,2,14000.0,1,2,6,1
15.0,13,5,1,2,1,1,1,0,1,1,2,2,2,0.0,0,0,1,0
18.0,15,5,2,1,0,1,1,4,2,1,2,1,2,0.0,6,2,1,0
61.0,21,1,1,1,0,1,1,4,1,1,2,2,1,26500.0,6,0,1,1
28.0,13,5,2,2,0,1,1,4,1,1,2,2,2,27000.0,1,2,1,1
64.0,1,2,2,2,0,4,1,4,1,2,2,2,2,11000.0,6,0,6,1
15.0,12,1,1,2,0,5,1,0,1,2,2,2,2,0.0,0,0,6,1
45.0,19,1,2,2,0,4,1,4,1,2,2,2,2,14000.0,1,2,6,0
48.0,12,5,2,2,0,1,1,4,1,1,2,2,2,0.0,6,2,8,1
27.0,18,5,1,2,0,1,1,4,1,1,2,2,2,14000.0,1,0,2,0
60.0,20,5,2,2,0,1,3,4,1,1,2,2,2,10900.0,1,0,2,1
26.0,20,5,2,2,0,4,1,4,1,2,2,2,2,9600.0,1,2,6,1
36.0,21,3,1,2,0,1,1,2,2,1,2,2,2,6000.0,3,0,1,1
60.0,16,1,2,2,0,1,1,4,1,1,2,2,2,0.0,6,0,1,0
25.0,20,5,2,2,0,1,1,4,2,1,2,2,2,22000.0,1,2,9,1
21.0,19,5,2,2,0,1,1,4,1,1,2,2,2,14000.0,1,2,1,1
30.0,12,5,1,2,0,4,1,4,4,2,2,2,2,7000.0,6,0,1,0
22.0,21,5,1,2,0,1,1,4,2,1,2,2,2,20000.0,1,0,1,0
39.0,19,5,2,2,0,1,1,4,4,1,2,2,2,0.0,6,2,2,1
35.0,21,1,2,2,0,5,1,4,1,2,2,2,2,0.0,6,2,9,0
43.0,24,5,1,1,0,1,1,4,1,1,2,1,2,-300.0,6,0,1,1
27.0,21,5,2,2,0,1,1,4,1,1,2,2,2,260.0,1,2,1,0
29.0,20,1,2,2,0,5,1,4,1,2,2,2,2,20000.0,1,2,6,0
15.0,10,5,1,1,3,1,1,0,1,1,2,1,1,7800.0,0,0,1,1
64.0,13,2,2,2,0,1,1,4,1,1,2,2,2,9000.0,1,0,1,0
19.0,19,5,2,2,0,3,1,4,1,1,2,2,2,5000.0,1,2,6,0
56.0,14,5,1,1,0,1,1,4,1,1,2,2,2,9600.0,6,0,8,1
42.0,15,1,1,2,0,4,1,4,1,2,2,2,2,0.0,6,0,6,0
17.0,13,5,1,2,2,1,1,4,1,1,2,2,2,0.0,6,0,1,0
55.0,20,1,1,2,0,1,1,3,2,1,2,2,2,6000.0,1,0,2,0
16.0,13,5,2,2,7,1,1,0,2,1,2,2,2,0.0,6,2,1,0
35.0,22,1,1,2,0,1,1,4,1,1,2,2,2,16000.0,1,0,1,1
