AGEP,SCHL,MAR,SEX,DIS,ESP,CIT,MIG,MIL,ANC,NATIVITY,DEAR,DEYE,DREM,PINCP,ESR,ST,FER,RAC1P,label
44.0,16.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,16800.0,3.0,6.0,0.0,9.0,1
18.0,16.0,5.0,2.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,1500.0,6.0,6.0,2.0,6.0,1
55.0,19.0,3.0,1.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0,0
34.0,16.0,3.0,1.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,7.0,0
48.0,16.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0,1
18.0,19.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,2.0,1.0,0
19.0,18.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,6200.0,3.0,6.0,0.0,1.0,1
35.0,21.0,1.0,1.0,1.0,0.0,5.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,6000.0,6.0,6.0,0.0,1.0,0
36.0,13.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,8.0,0
48.0,19.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0,1
21.0,19.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,6000.0,1.0,6.0,2.0,1.0,1
19.0,18.0,5.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,20000.0,4.0,6.0,0.0,1.0,0
22.0,16.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,2.0,1.0,0
33.0,16.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,30000.0,6.0,6.0,0.0,1.0,1
15.0,12.0,5.0,1.0,2.0,0.0,1.0,3.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,6.0,0.0,1.0,1
18.0,18.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,2.0,2.0,1
32.0,21.0,5.0,1.0,2.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,6.0,0
18.0,16.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,2.0,2.0,1
24.0,16.0,5.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,10000.0,4.0,6.0,0.0,1.0,0
21.0,19.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,3600.0,6.0,6.0,2.0,9.0,0
42.0,17.0,5.0,2.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,5300.0,6.0,6.0,2.0,1.0,1
30.0,19.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,4800.0,6.0,6.0,2.0,2.0,1
21.0,16.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,4000.0,3.0,6.0,0.0,1.0,0
22.0,16.0,5.0,2.0,2.0,0.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,27000.0,4.0,6.0,2.0,1.0,0
45.0,18.0,3.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,3000.0,6.0,6.0,0.0,9.0,1
21.0,19.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,3000.0,1.0,6.0,2.0,9.0,0
22.0,19.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,5000.0,1.0,6.0,2.0,1.0,0
25.0,18.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,200.0,6.0,6.0,0.0,8.0,1
40.0,16.0,2.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,2.0,0
19.0,19.0,5.0,1.0,2.0,0.0,5.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,0.0,3.0,6.0,0.0,6.0,0
23.0,16.0,5.0,1.0,2.0,0.0,5.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,8.0,0
40.0,15.0,3.0,1.0,2.0,0.0,4.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,8000.0,6.0,6.0,0.0,8.0,0
18.0,16.0,5.0,2.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,0.0,3.0,6.0,2.0,1.0,0
36.0,17.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,8.0,0
20.0,19.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,6000.0,1.0,6.0,0.0,1.0,0
27.0,14.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,500.0,6.0,6.0,0.0,8.0,1
15.0,13.0,5.0,2.0,2.0,0.0,1.0,3.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,6.0,2.0,6.0,1
33.0,19.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2500.0,6.0,6.0,0.0,3.0,0
18.0,18.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1400.0,6.0,6.0,2.0,6.0,0
19.0,18.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,5500.0,1.0,6.0,0.0,1.0,0
55.0,17.0,1.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0,0
36.0,18.0,5.0,1.0,1.0,0.0,3.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,0.0,6.0,6.0,0.0,1.0,1
43.0,22.0,5.0,1.0,2.0,0.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,480.0,6.0,6.0,0.0,9.0,1
30.0,9.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,5.0,1
22.0,5.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0,1
19.0,19.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,400.0,6.0,6.0,0.0,9.0,0
17.0,16.0,5.0,1.0,2.0,0.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2000.0,6.0,6.0,0.0,2.0,1
25.0,21.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,13000.0,1.0,6.0,0.0,6.0,0
19.0,18.0,5.0,2.0,2.0,0.0,5.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,0.0,6.0,6.0,2.0,6.0,0
20.0,16.0,5.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,19600.0,4.0,6.0,0.0,2.0,0
22.0,19.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,3500.0,6.0,6.0,0.0,1.0,0
55.0,19.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,4000.0,6.0,6.0,0.0,1.0,0
47.0,14.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,0.0,6.0,6.0,0.0,6.0,1
19.0,16.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0,0
35.0,20.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,19200.0,6.0,6.0,0.0,1.0,1
26.0,16.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,21100.0,1.0,6.0,2.0,9.0,0
47.0,17.0,1.0,1.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,2.0,1
31.0,16.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,10800.0,6.0,6.0,0.0,1.0,1
24.0,14.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0,1
23.0,16.0,5.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,25000.0,4.0,6.0,0.0,1.0,0
64.0,19.0,3.0,1.0,1.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,17400.0,6.0,6.0,0.0,1.0,1
33.0,21.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,25000.0,6.0,6.0,0.0,1.0,1
23.0,19.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,24000.0,4.0,6.0,0.0,1.0,0
60.0,19.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,14000.0,6.0,6.0,0.0,8.0,1
49.0,16.0,1.0,1.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0,0
60.0,19.0,1.0,1.0,1.0,0.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,10200.0,6.0,6.0,0.0,6.0,1
15.0,12.0,5.0,1.0,2.0,0.0,1.0,3.0,0.0,1.0,1.0,2.0,2.0,2.0,1900.0,0.0,6.0,0.0,2.0,1
52.0,19.0,5.0,1.0,1.0,0.0,4.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,900.0,6.0,6.0,0.0,1.0,1
37.0,21.0,5.0,1.0,1.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,1.0,12300.0,6.0,6.0,0.0,1.0,1
21.0,19.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,700.0,1.0,6.0,0.0,1.0,0
49.0,14.0,1.0,1.0,2.0,0.0,4.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0,1
23.0,16.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0,1
27.0,14.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,6500.0,6.0,6.0,0.0,8.0,1
33.0,11.0,5.0,1.0,2.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,1200.0,6.0,6.0,0.0,8.0,1
31.0,23.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,3.0,1.0,2.0,2.0,2.0,25000.0,6.0,6.0,0.0,9.0,0
62.0,1.0,5.0,2.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,13800.0,6.0,6.0,0.0,1.0,1
20.0,19.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,3.0,6.0,2.0,1.0,1
30.0,16.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,28700.0,6.0,6.0,0.0,1.0,1
28.0,13.0,1.0,1.0,1.0,0.0,2.0,3.0,4.0,1.0,1.0,2.0,2.0,1.0,0.0,6.0,6.0,0.0,2.0,1
29.0,13.0,5.0,1.0,1.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,11200.0,6.0,6.0,0.0,8.0,0
18.0,16.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,2.0,1.0,0
23.0,14.0,3.0,1.0,1.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,1.0,0.0,6.0,6.0,0.0,8.0,0
18.0,14.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,2.0,1
35.0,12.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,2.0,1
19.0,19.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,4400.0,1.0,6.0,2.0,1.0,0
18.0,18.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,9610.0,1.0,6.0,2.0,1.0,0
55.0,9.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,9800.0,6.0,6.0,0.0,1.0,1
31.0,8.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0,0
59.0,1.0,5.0,1.0,1.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,1.0,10800.0,6.0,6.0,0.0,2.0,1
20.0,19.0,5.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,18000.0,4.0,6.0,0.0,1.0,0
29.0,13.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,0.0,6.0,6.0,0.0,3.0,1
19.0,16.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2000.0,1.0,6.0,0.0,1.0,0
27.0,16.0,3.0,1.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,2.0,1
19.0,16.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,3600.0,6.0,6.0,0.0,1.0,0
17.0,19.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,2.0,1.0,0
22.0,17.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0,0
19.0,16.0,5.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,21700.0,4.0,6.0,2.0,9.0,0
30.0,20.0,5.0,1.0,2.0,0.0,4.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,25000.0,6.0,6.0,0.0,7.0,0
27.0,19.0,4.0,1.0,1.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,1.0,7500.0,6.0,6.0,0.0,5.0,1
23.0,19.0,5.0,2.0,1.0,0.0,1.0,1.0,4.0,3.0,1.0,2.0,2.0,1.0,1500.0,1.0,6.0,2.0,9.0,0
20.0,18.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,2.0,1.0,0
36.0,14.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,0.0,6.0,6.0,0.0,8.0,1
20.0,18.0,5.0,1.0,2.0,0.0,5.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0,0
43.0,19.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,2.0,0
31.0,21.0,5.0,2.0,1.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,1.0,0.0,6.0,6.0,2.0,1.0,1
61.0,16.0,3.0,1.0,1.0,0.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,6.0,0.0,1.0,1
49.0,16.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,7200.0,6.0,6.0,0.0,1.0,1
52.0,13.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,700.0,6.0,6.0,0.0,1.0,0
23.0,19.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,18000.0,1.0,6.0,2.0,2.0,1
20.0,17.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,650.0,3.0,6.0,2.0,6.0,0
21.0,13.0,1.0,1.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1000.0,6.0,6.0,0.0,8.0,1
50.0,16.0,5.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,6.0,6.0,0.0,1.0,0
21.0,19.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2700.0,6.0,6.0,2.0,8.0,0
15.0,12.0,5.0,1.0,2.0,0.0,1.0,3.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,6.0,0.0,2.0,1
27.0,20.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,2.0,2.0,0
46.0,9.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,0.0,6.0,6.0,0.0,8.0,1
37.0,16.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,20000.0,1.0,6.0,0.0,2.0,0
27.0,16.0,5.0,2.0,1.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,1.0,2700.0,6.0,6.0,2.0,2.0,1
41.0,19.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,7800.0,6.0,6.0,0.0,1.0,1
64.0,16.0,5.0,1.0,1.0,0.0,4.0,3.0,4.0,1.0,2.0,2.0,2.0,1.0,5400.0,6.0,6.0,0.0,1.0,1
18.0,18.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,3700.0,6.0,6.0,0.0,1.0,0
20.0,19.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,2700.0,1.0,6.0,2.0,9.0,1
58.0,16.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,0.0,6.0,6.0,0.0,7.0,1
26.0,16.0,1.0,1.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,12000.0,6.0,6.0,0.0,8.0,1
